variant,module,sha256,file_offset,embedded_path,oracle_path,classification
demo,Wiz8.EXE,8acda50afe39f7e6a867272300a09463fd94aed9a510008fcdefc662143346e4,0x20c040,C:\Projects\SGP\DirectDraw Calls.c,sgp/DirectDraw Calls.c,exact-path
gog-1261,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,0x20003c,C:\Projects\SGP\DirectDraw Calls.c,sgp/DirectDraw Calls.c,exact-path
gog-1261,Wiz8New.exe,57a3072c2f8307de84e2f54ac58d3fcd7cf3cef18088bf0f0fdec2ac9202b2b1,0x20003c,C:\Projects\SGP\DirectDraw Calls.c,sgp/DirectDraw Calls.c,exact-path
gog-128,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,0x20003c,C:\Projects\SGP\DirectDraw Calls.c,sgp/DirectDraw Calls.c,exact-path
gog-128,Wiz8_v128.exe,fdca6d9cd0940034191e82b8e2900de26bb25e381c74128dcb8967360a9fb824,0x1ffa3c,C:\Projects\SGP\DirectDraw Calls.c,sgp/DirectDraw Calls.c,exact-path
gog-base,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,0x20003c,C:\Projects\SGP\DirectDraw Calls.c,sgp/DirectDraw Calls.c,exact-path
retail-2001-12-23,Wiz8.exe,c3639d43568a1ed233be85c6b3b8129b1a4661e65717220e0514c815aa972edd,,C:\Projects\SGP\DirectDraw Calls.c,sgp/DirectDraw Calls.c,not-embedded
