program,call_site,call_kind,function_start,source_path,line,expression,message
wiz8--demo--wiz8--8acda50afe39,0046e796,direct,0046e6a0,E:\Wizardry 8\Engine Code\OctPreTree.cpp,2012,pCondNode,InsertConditionalNodes: Could not allocate CondPathNode stucture.
wiz8--demo--wiz8--8acda50afe39,0046e845,direct,0046e6a0,E:\Wizardry 8\Engine Code\OctPreTree.cpp,2020,FALSE,Could not find prop and frame for conditional node.
wiz8--demo--wiz8--8acda50afe39,0046e949,direct,0046e6a0,E:\Wizardry 8\Engine Code\OctPreTree.cpp,2040,pCondNode,InsertConditionalNodes: Could not allocate CondPathNode stucture.
wiz8--demo--wiz8--8acda50afe39,0046eb54,direct,0046e6a0,E:\Wizardry 8\Engine Code\OctPreTree.cpp,2048,FALSE,Could not find prop and frame for conditional node.
wiz8--demo--wiz8--8acda50afe39,0046eee2,direct,0046edc0,E:\Wizardry 8\Engine Code\OctPreTree.cpp,2186,pPreProps[i].pStopMeshes,CreatePathProps: Couldn't allocate GDPreProp objects.
wiz8--demo--wiz8--8acda50afe39,0046f1b8,direct,0046edc0,E:\Wizardry 8\Engine Code\OctPreTree.cpp,2217,pPreProps[i].pStopMeshes,CreatePathProps: Couldn't allocate GDPreProp objects.
wiz8--demo--wiz8--8acda50afe39,0046f226,direct,0046edc0,E:\Wizardry 8\Engine Code\OctPreTree.cpp,2224,(pLVL->pProps[i].usFrame_Pos[j*2] < (UINT16)(pLVL->pProps[i].bNumFrames)),
wiz8--demo--wiz8--8acda50afe39,00470989,direct,00470970,E:\Wizardry 8\Engine Code\3d.cpp,236,psrScene,
wiz8--demo--wiz8--8acda50afe39,00470a76,register-indirect,00470a50,E:\Wizardry 8\Engine Code\3d.cpp,264,pWorld,
wiz8--demo--wiz8--8acda50afe39,00470a91,register-indirect,00470a50,E:\Wizardry 8\Engine Code\3d.cpp,265,pWorld->plsMonsters,
wiz8--demo--wiz8--8acda50afe39,00470b43,register-indirect,00470b20,E:\Wizardry 8\Engine Code\3d.cpp,304,pWorld,
wiz8--demo--wiz8--8acda50afe39,00470b60,register-indirect,00470b20,E:\Wizardry 8\Engine Code\3d.cpp,305,pWorld->plsItems,
wiz8--demo--wiz8--8acda50afe39,00470bd3,direct,00470bb0,E:\Wizardry 8\Engine Code\3d.cpp,339,pWorld && pWorld->plsProps,
wiz8--demo--wiz8--8acda50afe39,00470d48,register-indirect,00470c70,E:\Wizardry 8\Engine Code\3d.cpp,565,name,
wiz8--demo--wiz8--8acda50afe39,00470dc4,register-indirect,00470c70,E:\Wizardry 8\Engine Code\3d.cpp,574,pLight,
wiz8--demo--wiz8--8acda50afe39,00470e3e,direct,00470e20,E:\Wizardry 8\Engine Code\3d.cpp,598,name,
wiz8--demo--wiz8--8acda50afe39,00470e5f,direct,00470e20,E:\Wizardry 8\Engine Code\3d.cpp,599,pWorld,
wiz8--demo--wiz8--8acda50afe39,00470e8b,direct,00470e20,E:\Wizardry 8\Engine Code\3d.cpp,603,pLight,
wiz8--demo--wiz8--8acda50afe39,00470f52,register-indirect,00470f30,E:\Wizardry 8\Engine Code\3d.cpp,627,pWorld,
wiz8--demo--wiz8--8acda50afe39,00470f6f,register-indirect,00470f30,E:\Wizardry 8\Engine Code\3d.cpp,628,pLight,
wiz8--demo--wiz8--8acda50afe39,00471049,direct,00471030,E:\Wizardry 8\Engine Code\3d.cpp,646,pWorld,
wiz8--demo--wiz8--8acda50afe39,00471099,direct,00471080,E:\Wizardry 8\Engine Code\3d.cpp,658,pWorld,
wiz8--demo--wiz8--8acda50afe39,004710cc,direct,004710b0,E:\Wizardry 8\Engine Code\3d.cpp,665,pWorld,
wiz8--demo--wiz8--8acda50afe39,004711d0,direct,00471190,E:\Wizardry 8\Engine Code\3d.cpp,627,pWorld,
wiz8--demo--wiz8--8acda50afe39,004711ed,direct,00471190,E:\Wizardry 8\Engine Code\3d.cpp,628,pLight,
wiz8--demo--wiz8--8acda50afe39,00471717,direct,004715b0,E:\Wizardry 8\Engine Code\3d.cpp,1102,psrDIG,
wiz8--demo--wiz8--8acda50afe39,00472307,register-indirect,00472120,E:\Wizardry 8\Engine Code\3d.cpp,1466,pstMeshModel,
wiz8--demo--wiz8--8acda50afe39,00472358,register-indirect,00472120,E:\Wizardry 8\Engine Code\3d.cpp,1469,pstHeadInstance,
wiz8--demo--wiz8--8acda50afe39,004723c7,register-indirect,00472120,E:\Wizardry 8\Engine Code\3d.cpp,1481,pstModelInstance,
wiz8--demo--wiz8--8acda50afe39,00472418,register-indirect,00472120,E:\Wizardry 8\Engine Code\3d.cpp,1484,pstHeadInstance,
wiz8--demo--wiz8--8acda50afe39,004725a7,direct,00472470,E:\Wizardry 8\Engine Code\3d.cpp,1497,pstMeshModel,
wiz8--demo--wiz8--8acda50afe39,00474471,register-indirect,004742d0,E:\Wizardry 8\Engine Code\stMeshModel.cpp,458,m_psCompVertexLoc[uiCount],
wiz8--demo--wiz8--8acda50afe39,004744d3,register-indirect,004742d0,E:\Wizardry 8\Engine Code\stMeshModel.cpp,463,m_pbCompVertexNormal[uiCount],
wiz8--demo--wiz8--8acda50afe39,00474533,register-indirect,004742d0,E:\Wizardry 8\Engine Code\stMeshModel.cpp,468,m_pbCompPolyNormal[uiCount],
wiz8--demo--wiz8--8acda50afe39,0047475d,direct,004742d0,E:\Wizardry 8\Engine Code\stMeshModel.cpp,575,m_pVertexLoc[uiFrame],
wiz8--demo--wiz8--8acda50afe39,00474803,direct,004742d0,E:\Wizardry 8\Engine Code\stMeshModel.cpp,586,m_pVertexNormal[uiFrame],
wiz8--demo--wiz8--8acda50afe39,004748ae,direct,004742d0,E:\Wizardry 8\Engine Code\stMeshModel.cpp,597,m_pPolyNormal[uiFrame],
wiz8--demo--wiz8--8acda50afe39,00474af4,direct,00474a60,E:\Wizardry 8\Engine Code\stMeshModel.cpp,720,m_pLerpBuffer,
wiz8--demo--wiz8--8acda50afe39,00475a5b,direct,00475980,E:\Wizardry 8\Engine Code\stMeshModel.cpp,1222,l,
wiz8--demo--wiz8--8acda50afe39,00475bf6,direct,00475980,E:\Wizardry 8\Engine Code\stMeshModel.cpp,1239,vnorm,
wiz8--demo--wiz8--8acda50afe39,0047649f,direct,00476190,E:\Wizardry 8\Engine Code\stMeshModel.cpp,1481,m_plsSkinBlankingAPT,
wiz8--demo--wiz8--8acda50afe39,00476541,direct,00476190,E:\Wizardry 8\Engine Code\stMeshModel.cpp,1490,m_plsSkinBlankingAPTNum,
wiz8--demo--wiz8--8acda50afe39,004765c6,direct,00476190,E:\Wizardry 8\Engine Code\stMeshModel.cpp,1499,m_plsSkinBlankingChecked,
wiz8--demo--wiz8--8acda50afe39,00476a4d,direct,00476a30,E:\Wizardry 8\Engine Code\stMeshModel.cpp,1764,uiFrames,
wiz8--demo--wiz8--8acda50afe39,00476b82,direct,00476b20,E:\Wizardry 8\Engine Code\stMeshModel.cpp,1806,pstModel,
wiz8--demo--wiz8--8acda50afe39,0047d59d,direct,0047d540,E:\Wizardry 8\Engine Code\AmbientSound.cpp,753,pSound,
wiz8--demo--wiz8--8acda50afe39,0047d5e9,direct,0047d5d0,E:\Wizardry 8\Engine Code\AmbientSound.cpp,761,pAmbient,
wiz8--demo--wiz8--8acda50afe39,0047d6a0,direct,0047d660,E:\Wizardry 8\Engine Code\AmbientSound.cpp,858,pSound->pacSoundName,AmbientSound.cpp: Error allocating sound name
wiz8--demo--wiz8--8acda50afe39,0047e3f8,direct,0047e3d0,E:\Wizardry 8\Engine Code\Quality.cpp,155,gpQuality,
wiz8--demo--wiz8--8acda50afe39,004832d7,direct,00482f30,E:\Wizardry 8\Engine Code\stModelInstance.cpp,922,m_pGlowMaterial,
wiz8--demo--wiz8--8acda50afe39,00484c1d,register-indirect,00484850,E:\Wizardry 8\Engine Code\Environment.cpp,630,pWorld,
wiz8--demo--wiz8--8acda50afe39,00484c32,register-indirect,00484850,E:\Wizardry 8\Engine Code\Environment.cpp,644,pWorld,
wiz8--demo--wiz8--8acda50afe39,00484f40,register-indirect,00484850,E:\Wizardry 8\Engine Code\Environment.cpp,630,pWorld,
wiz8--demo--wiz8--8acda50afe39,00484f55,register-indirect,00484850,E:\Wizardry 8\Engine Code\Environment.cpp,644,pWorld,
wiz8--demo--wiz8--8acda50afe39,00485d32,register-indirect,00485a80,E:\Wizardry 8\Engine Code\Environment.cpp,630,pWorld,
wiz8--demo--wiz8--8acda50afe39,00485d47,register-indirect,00485a80,E:\Wizardry 8\Engine Code\Environment.cpp,644,pWorld,
wiz8--demo--wiz8--8acda50afe39,00486122,register-indirect,00486100,E:\Wizardry 8\Engine Code\Environment.cpp,612,pWorld,
wiz8--demo--wiz8--8acda50afe39,0048613f,register-indirect,00486100,E:\Wizardry 8\Engine Code\Environment.cpp,613,pLightValue,
wiz8--demo--wiz8--8acda50afe39,004861a0,register-indirect,00486180,E:\Wizardry 8\Engine Code\Environment.cpp,630,pWorld,
wiz8--demo--wiz8--8acda50afe39,004861b5,register-indirect,00486180,E:\Wizardry 8\Engine Code\Environment.cpp,644,pWorld,
wiz8--demo--wiz8--8acda50afe39,004861f9,direct,004861e0,E:\Wizardry 8\Engine Code\Environment.cpp,644,pWorld,
wiz8--demo--wiz8--8acda50afe39,0048622c,direct,00486210,E:\Wizardry 8\Engine Code\Environment.cpp,660,pWorld,
