program,call_site,call_kind,function_start,name
wiz8--gog-1261--wiz8new--57a3072c2f83,004236ab,register-indirect,00423500,Full Screen Overlay Scene
wiz8--gog-1261--wiz8new--57a3072c2f83,00423723,register-indirect,00423500,2D Overlay Scene (0)
wiz8--gog-1261--wiz8new--57a3072c2f83,00423799,register-indirect,00423500,2D Overlay Scene (1)
wiz8--gog-1261--wiz8new--57a3072c2f83,00424503,direct,00424280,Video2DRectToPolygon
wiz8--gog-1261--wiz8new--57a3072c2f83,0042472f,direct,00424560,Video2DRectToSquarePolygon
wiz8--gog-1261--wiz8new--57a3072c2f83,00424999,direct,00424790,Video2DPolyColored
wiz8--gog-1261--wiz8new--57a3072c2f83,00424b00,direct,00424a90,VideoMakePoster
wiz8--gog-1261--wiz8new--57a3072c2f83,00424ce4,register-indirect,00424ba0,VideoMakePoster
wiz8--gog-1261--wiz8new--57a3072c2f83,00424e53,register-indirect,00424ba0,VideoMakePoster
wiz8--gog-1261--wiz8new--57a3072c2f83,00424f3e,direct,00424eb0,Video2DMakePolygonBrush
wiz8--gog-1261--wiz8new--57a3072c2f83,00425043,direct,00424eb0,Video2DMakePolygonBrush
wiz8--gog-1261--wiz8new--57a3072c2f83,00425134,direct,00424eb0,Video2DMakePolygonBrush
wiz8--gog-1261--wiz8new--57a3072c2f83,00425248,register-indirect,00425190,Video2DMakePolygonBrush
wiz8--gog-1261--wiz8new--57a3072c2f83,004253be,register-indirect,00425190,Video2DMakePolygonBrush
wiz8--gog-1261--wiz8new--57a3072c2f83,00427d91,register-indirect,00427ab0,MouseResize
wiz8--gog-1261--wiz8new--57a3072c2f83,00427e28,register-indirect,00427ab0,Mouse Cursor Mesh
wiz8--gog-1261--wiz8new--57a3072c2f83,00428629,register-indirect,004285c0,Mouse Cursor Scene
wiz8--gog-1261--wiz8new--57a3072c2f83,00428f18,register-indirect,00428e60,VideoVObjecttoTextureAnim
wiz8--gog-1261--wiz8new--57a3072c2f83,0042903e,register-indirect,00428e60,VideoVObjecttoTextureAnim:srColorSurface
wiz8--gog-1261--wiz8new--57a3072c2f83,004290b3,register-indirect,00428e60,VideoVObjecttoTextureAnim
wiz8--gog-1261--wiz8new--57a3072c2f83,0042b1aa,direct,0042af60,AnimatedCloudMaterial
wiz8--gog-1261--wiz8new--57a3072c2f83,00441f02,direct,004417c0,
wiz8--gog-1261--wiz8new--57a3072c2f83,004434f1,direct,004417c0,
wiz8--gog-1261--wiz8new--57a3072c2f83,0044b395,direct,0044aee0,
wiz8--gog-1261--wiz8new--57a3072c2f83,0044f286,register-indirect,0044f1c0,Sir-Tech Scene Static Scene
wiz8--gog-1261--wiz8new--57a3072c2f83,0045d5ef,direct,0045d530,WayPoint Mesh
wiz8--gog-1261--wiz8new--57a3072c2f83,0045d842,direct,0045d530,WayPoint Mesh
wiz8--gog-1261--wiz8new--57a3072c2f83,0046dfed,direct,0046df90,
wiz8--gog-1261--wiz8new--57a3072c2f83,0046e0ec,direct,0046df90,
wiz8--gog-1261--wiz8new--57a3072c2f83,0046e1db,direct,0046e140,
wiz8--gog-1261--wiz8new--57a3072c2f83,0046f654,direct,0046f410,ST_CreateInstance
wiz8--gog-1261--wiz8new--57a3072c2f83,0046f71c,direct,0046f410,ST_CreateInstance
wiz8--gog-1261--wiz8new--57a3072c2f83,004764b3,direct,00476440,Sirtech Camera
wiz8--gog-1261--wiz8new--57a3072c2f83,0047c2d6,direct,0047c090,TGA-importer generated palette
wiz8--gog-1261--wiz8new--57a3072c2f83,0047c751,direct,0047c630,
wiz8--gog-1261--wiz8new--57a3072c2f83,00485bc3,direct,00485ab0,Read Mesh Duplicate Instance
wiz8--gog-1261--wiz8new--57a3072c2f83,0048637f,register-indirect,00485c10,
wiz8--gog-1261--wiz8new--57a3072c2f83,00486393,register-indirect,00485c10,ReadSTMeshFromFile
wiz8--gog-1261--wiz8new--57a3072c2f83,0048848b,register-indirect,00488240,
wiz8--gog-1261--wiz8new--57a3072c2f83,004884a9,register-indirect,00488240,Multi Mesh Instance
wiz8--gog-1261--wiz8new--57a3072c2f83,0048d647,direct,0048d080,Cube Number Material
wiz8--gog-1261--wiz8new--57a3072c2f83,0048d937,direct,0048d080,stCube
wiz8--gog-1261--wiz8new--57a3072c2f83,0048f996,direct,0048f940,Music Playlist
wiz8--gog-1261--wiz8new--57a3072c2f83,0048fd5c,direct,0048fc10,
wiz8--gog-1261--wiz8new--57a3072c2f83,0048fd8e,direct,0048fc10,
wiz8--gog-1261--wiz8new--57a3072c2f83,00498289,direct,00498180,
wiz8--gog-1261--wiz8new--57a3072c2f83,0049d587,direct,0049d500,MonFixedLight
wiz8--gog-1261--wiz8new--57a3072c2f83,0049f219,direct,0049f120,ItemRep::ReadFromFile
wiz8--gog-1261--wiz8new--57a3072c2f83,004a8dac,direct,004a8d50,Ground Shadow
wiz8--gog-1261--wiz8new--57a3072c2f83,004b5a6e,direct,004b58d0,Ani Mesh Duplicate Instance
wiz8--gog-1261--wiz8new--57a3072c2f83,004b5af9,direct,004b58d0,Ani Mesh Duplicate Instance
wiz8--gog-1261--wiz8new--57a3072c2f83,004b5eac,direct,004b5d00,AniMeshReallyReadFromFile
wiz8--gog-1261--wiz8new--57a3072c2f83,004b6028,direct,004b5d00,AniMeshReallyReadFromFile
wiz8--gog-1261--wiz8new--57a3072c2f83,004b9093,direct,004b8a70,
wiz8--gog-1261--wiz8new--57a3072c2f83,004b935b,direct,004b9280,
wiz8--gog-1261--wiz8new--57a3072c2f83,004b98cd,direct,004b9460,
wiz8--gog-1261--wiz8new--57a3072c2f83,004b99da,direct,004b98f0,
wiz8--gog-1261--wiz8new--57a3072c2f83,004bb151,direct,004baff0,ReadLevel
wiz8--gog-1261--wiz8new--57a3072c2f83,004bb98d,direct,004baff0,Unsunlit Prop Material
wiz8--gog-1261--wiz8new--57a3072c2f83,004bd000,direct,004bce20,
wiz8--gog-1261--wiz8new--57a3072c2f83,004bd2b5,direct,004bd0d0,
wiz8--gog-1261--wiz8new--57a3072c2f83,004c809b,direct,004c7e80,
wiz8--gog-1261--wiz8new--57a3072c2f83,004d6500,direct,004d6430,
wiz8--gog-1261--wiz8new--57a3072c2f83,0057ecfd,register-indirect,0057e660,
wiz8--gog-base--wiz8--18a74ff61c65,0041cf2e,register-indirect,0041c140,GameData Mesh
wiz8--gog-base--wiz8--18a74ff61c65,0041cf58,register-indirect,0041c140,GameData Mesh
wiz8--gog-base--wiz8--18a74ff61c65,004235bf,register-indirect,00423500,2D Permanent Overlay Scene
wiz8--gog-base--wiz8--18a74ff61c65,00423635,register-indirect,00423500,2D User Overlay Scene
