program,address,section,storage,kind,reference_count,function_count,access_kinds,widths,extent_upper,extent_bytes,preview
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb8b0,.rdata,initialized,import-slot,3,3,read,4,005eb8b4,4,SR.DLL!?getNewFrameHandle@srTexture@@KAKXZ
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb8b4,.rdata,initialized,import-slot,6,6,read,4,005eb8b8,4,SR.DLL!??0srTexture@@IAE@XZ
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb8b8,.rdata,initialized,import-slot,4,4,read,4,005eb8bc,4,SR.DLL!?invalidateFrameHandle@srTexture@@IAEXK@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb8bc,.rdata,initialized,import-slot,1,1,read,4,005eb8c0,4,SR.DLL!?getSize@srBinStream@@UAEKXZ
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb8c0,.rdata,initialized,import-slot,1,1,read,4,005eb8c4,4,SR.DLL!?vget@srBinIStream@@MAEGXZ
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb8c4,.rdata,initialized,import-slot,1,1,read,4,005eb8c8,4,SR.DLL!??1srBinIStream@@UAE@XZ
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb8c8,.rdata,initialized,import-slot,1,1,read,4,005eb8cc,4,SR.DLL!??1srBinStream@@UAE@XZ
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb8cc,.rdata,initialized,import-slot,3,2,read,4,005eb8d0,4,SR.DLL!?setState@srBinStream@@QAEXW4e_state@1@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb8d0,.rdata,initialized,import-slot,1,1,read,4,005eb8d4,4,SR.DLL!??_7srBinIStream@@6BsrBinStream@@@
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb8d4,.rdata,initialized,import-slot,1,1,read,4,005eb8d8,4,SR.DLL!??_7srBinIStream@@6B0@@
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb8d8,.rdata,initialized,import-slot,1,1,read,4,005eb8dc,4,SR.DLL!??0srBinStream@@IAE@XZ
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb8dc,.rdata,initialized,import-slot,1,1,read,4,005eb8e0,4,SR.DLL!?addStreamType@srIStreamOpener@@QAEXPAVOpener@1@PBD@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb8e0,.rdata,initialized,import-slot,1,1,read,4,005eb8e4,4,SR.DLL!?getIStreamOpener@srCore@@QBEPAVsrIStreamOpener@@XZ
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb8e4,.rdata,initialized,import-slot,2,1,read,4,005eb8e8,4,SR.DLL!?sGetClassName@srPalette@@SAPBDXZ
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb8e8,.rdata,initialized,import-slot,1,1,read,4,005eb8ec,4,SR.DLL!??4srPalette@@QAEAAV0@ABV0@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb8ec,.rdata,initialized,import-slot,7,6,read,4,005eb8f0,4,SR.DLL!?popMatrix@srGERD@@QAEXXZ
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb8f0,.rdata,initialized,import-slot,1,1,read,4,005eb8f4,4,SR.DLL!?drawArrays@srGERD@@QAEXW4e_primitive@srRendererDefs@@JK@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb8f4,.rdata,initialized,import-slot,4,2,read,4,005eb8f8,4,SR.DLL!?setTexture@srGERD@@QAEXPAVsrTextureIFace@@K@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb8f8,.rdata,initialized,import-slot,1,1,read,4,005eb8fc,4,SR.DLL!?setAntiAlias@srGERD@@QAEXW4e_antiAlias@1@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb8fc,.rdata,initialized,import-slot,1,1,read,4,005eb900,4,SR.DLL!?setClipState@srGERD@@QAEXV?$srFlags@W4e_clip@srRendererDefs@@@@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb900,.rdata,initialized,import-slot,1,1,read,4,005eb904,4,SR.DLL!?ortho@srGERD@@QAEXNNNNNN@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb904,.rdata,initialized,import-slot,3,3,read,4,005eb908,4,SR.DLL!?loadIdentity@srGERD@@QAEXXZ
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb908,.rdata,initialized,import-slot,5,5,read,4,005eb90c,4,SR.DLL!?pushMatrix@srGERD@@QAEXXZ
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb90c,.rdata,initialized,import-slot,6,5,read,4,005eb910,4,SR.DLL!?matrixMode@srGERD@@QAEXW4e_matrixMode@1@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb910,.rdata,initialized,import-slot,2,1,read,4,005eb914,4,SR.DLL!?disableHint@srTexture@@QAEXW4e_hint@srTextureIFace@@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb914,.rdata,initialized,import-slot,1,1,read,4,005eb918,4,SR.DLL!?setTextureSubImage@srGERD@@QAEXPAVsrTextureIFace@@JJJJJ@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb918,.rdata,initialized,import-slot,3,3,read,4,005eb91c,4,SR.DLL!?setModel@Client@srModel@@UAEXPAV2@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb91c,.rdata,initialized,import-slot,1,1,read,4,005eb920,4,SR.DLL!?process@srModelInstance@@UAEXABUProcessInfo@srNode@@W4e_processType@3@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb920,.rdata,initialized,import-slot,1,1,read,4,005eb924,4,SR.DLL!?traverse@srModelInstance@@UAEXAAVTraverseInfo@srNode@@@Z
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb924,.rdata,initialized,import-slot,1,1,read,4,005eb928,4,SR.DLL!?vInstance@srModelInstance@@UAEPAVsrClass@@XZ
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb928,.rdata,initialized,import-slot,1,1,read,4,005eb92c,4,SR.DLL!?getModel@Client@srModel@@UBEPAV2@XZ
wiz8--gog-1261--wiz8new--57a3072c2f83,005eb92c,.rdata,initialized,import-slot,1,1,read,4,005eb930,4,SR.DLL!?updateClient@srModelInstance@@UAEXW4e_update@Client@srModel@@@Z
