function,size,flags,build,module_sha256,classification,address,hit_count,similarity,relocation_masked_sha256,unavailable_reason
FileClearAttributes,17,/O2 /Ob2 /G5 /MD,gog_1261,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,00405550,1,1.000000,951abc5a9a0c8be62c53d3540f527f046174ffc125688c3e7ab6c65d166952d3,
FileClearAttributes,17,/O2 /Ob2 /G5 /MD,gog_1261_new,57a3072c2f8307de84e2f54ac58d3fcd7cf3cef18088bf0f0fdec2ac9202b2b1,relocation-equivalent,00405550,1,1.000000,951abc5a9a0c8be62c53d3540f527f046174ffc125688c3e7ab6c65d166952d3,
FileClearAttributes,17,/O2 /Ob2 /G5 /MD,gog_128_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,00405550,1,1.000000,951abc5a9a0c8be62c53d3540f527f046174ffc125688c3e7ab6c65d166952d3,
FileClearAttributes,17,/O2 /Ob2 /G5 /MD,gog_128_patch,fdca6d9cd0940034191e82b8e2900de26bb25e381c74128dcb8967360a9fb824,unavailable,,0,0.000000,951abc5a9a0c8be62c53d3540f527f046174ffc125688c3e7ab6c65d166952d3,no-text-section
FileClearAttributes,17,/O2 /Ob2 /G5 /MD,retail_2001_12_23,c3639d43568a1ed233be85c6b3b8129b1a4661e65717220e0514c815aa972edd,unavailable,,0,0.000000,951abc5a9a0c8be62c53d3540f527f046174ffc125688c3e7ab6c65d166952d3,protected-executable
FileClose,134,/O2 /Ob2 /G5 /MD,demo,8acda50afe39f7e6a867272300a09463fd94aed9a510008fcdefc662143346e4,absent-or-stripped,,0,0.438776,ad7719a56e4b3c94852ba796ecc939d6becb27072e982a0629796186524935b6,
FileClose,134,/O2 /Ob2 /G5 /MD,gog_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,absent-or-stripped,,0,0.438776,ad7719a56e4b3c94852ba796ecc939d6becb27072e982a0629796186524935b6,
FileClose,134,/O2 /Ob2 /G5 /MD,gog_1261,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,absent-or-stripped,,0,0.438776,ad7719a56e4b3c94852ba796ecc939d6becb27072e982a0629796186524935b6,
FileClose,134,/O2 /Ob2 /G5 /MD,gog_1261_new,57a3072c2f8307de84e2f54ac58d3fcd7cf3cef18088bf0f0fdec2ac9202b2b1,absent-or-stripped,,0,0.438776,ad7719a56e4b3c94852ba796ecc939d6becb27072e982a0629796186524935b6,
FileClose,134,/O2 /Ob2 /G5 /MD,gog_128_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,absent-or-stripped,,0,0.438776,ad7719a56e4b3c94852ba796ecc939d6becb27072e982a0629796186524935b6,
