function,size,flags,build,module_sha256,classification,address,hit_count,similarity,relocation_masked_sha256,unavailable_reason
DDBltSurface,103,/O2 /Ob1 /G5 /MD,gog_128_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,0040f290,1,1.000000,72ea8c68ad4f30d3d1ec6fdb6feeb57661d109cc04464fb7c04d42a111adaa31,
DDBltSurface,103,/O2 /Ob1 /G5 /MD,gog_128_patch,fdca6d9cd0940034191e82b8e2900de26bb25e381c74128dcb8967360a9fb824,unavailable,,0,0.000000,72ea8c68ad4f30d3d1ec6fdb6feeb57661d109cc04464fb7c04d42a111adaa31,no-text-section
DDBltSurface,103,/O2 /Ob1 /G5 /MD,retail_2001_12_23,c3639d43568a1ed233be85c6b3b8129b1a4661e65717220e0514c815aa972edd,unavailable,,0,0.000000,72ea8c68ad4f30d3d1ec6fdb6feeb57661d109cc04464fb7c04d42a111adaa31,protected-executable
DDCreateClipper,39,/O2 /Ob1 /G5 /MD,demo,8acda50afe39f7e6a867272300a09463fd94aed9a510008fcdefc662143346e4,absent-or-stripped,,0,0.000000,b73704ff825c518a56aac7d1818ea01c150840207ef8c1fe840ad9831bab809d,
DDCreateClipper,39,/O2 /Ob1 /G5 /MD,gog_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,absent-or-stripped,,0,0.000000,b73704ff825c518a56aac7d1818ea01c150840207ef8c1fe840ad9831bab809d,
DDCreateClipper,39,/O2 /Ob1 /G5 /MD,gog_1261,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,absent-or-stripped,,0,0.000000,b73704ff825c518a56aac7d1818ea01c150840207ef8c1fe840ad9831bab809d,
DDCreateClipper,39,/O2 /Ob1 /G5 /MD,gog_1261_new,57a3072c2f8307de84e2f54ac58d3fcd7cf3cef18088bf0f0fdec2ac9202b2b1,absent-or-stripped,,0,0.000000,b73704ff825c518a56aac7d1818ea01c150840207ef8c1fe840ad9831bab809d,
DDCreateClipper,39,/O2 /Ob1 /G5 /MD,gog_128_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,absent-or-stripped,,0,0.000000,b73704ff825c518a56aac7d1818ea01c150840207ef8c1fe840ad9831bab809d,
DDCreateClipper,39,/O2 /Ob1 /G5 /MD,gog_128_patch,fdca6d9cd0940034191e82b8e2900de26bb25e381c74128dcb8967360a9fb824,unavailable,,0,0.000000,b73704ff825c518a56aac7d1818ea01c150840207ef8c1fe840ad9831bab809d,no-text-section
DDCreateClipper,39,/O2 /Ob1 /G5 /MD,retail_2001_12_23,c3639d43568a1ed233be85c6b3b8129b1a4661e65717220e0514c815aa972edd,unavailable,,0,0.000000,b73704ff825c518a56aac7d1818ea01c150840207ef8c1fe840ad9831bab809d,protected-executable
DDCreatePalette,50,/O2 /Ob1 /G5 /MD,demo,8acda50afe39f7e6a867272300a09463fd94aed9a510008fcdefc662143346e4,relocation-equivalent,0040f660,1,1.000000,c211c3e255219d7b457824b4da0b69b725613d5a6425f10348f1e8adbf5a7dbd,
DDCreatePalette,50,/O2 /Ob1 /G5 /MD,gog_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,0040f300,1,1.000000,c211c3e255219d7b457824b4da0b69b725613d5a6425f10348f1e8adbf5a7dbd,
DDCreatePalette,50,/O2 /Ob1 /G5 /MD,gog_1261,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,0040f300,1,1.000000,c211c3e255219d7b457824b4da0b69b725613d5a6425f10348f1e8adbf5a7dbd,
DDCreatePalette,50,/O2 /Ob1 /G5 /MD,gog_1261_new,57a3072c2f8307de84e2f54ac58d3fcd7cf3cef18088bf0f0fdec2ac9202b2b1,relocation-equivalent,0040f300,1,1.000000,c211c3e255219d7b457824b4da0b69b725613d5a6425f10348f1e8adbf5a7dbd,
DDCreatePalette,50,/O2 /Ob1 /G5 /MD,gog_128_base,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,relocation-equivalent,0040f300,1,1.000000,c211c3e255219d7b457824b4da0b69b725613d5a6425f10348f1e8adbf5a7dbd,
DDCreatePalette,50,/O2 /Ob1 /G5 /MD,gog_128_patch,fdca6d9cd0940034191e82b8e2900de26bb25e381c74128dcb8967360a9fb824,unavailable,,0,0.000000,c211c3e255219d7b457824b4da0b69b725613d5a6425f10348f1e8adbf5a7dbd,no-text-section
DDCreatePalette,50,/O2 /Ob1 /G5 /MD,retail_2001_12_23,c3639d43568a1ed233be85c6b3b8129b1a4661e65717220e0514c815aa972edd,unavailable,,0,0.000000,c211c3e255219d7b457824b4da0b69b725613d5a6425f10348f1e8adbf5a7dbd,protected-executable
DDCreateRasterSurface,110,/O2 /Ob1 /G5 /MD,demo,8acda50afe39f7e6a867272300a09463fd94aed9a510008fcdefc662143346e4,absent-or-stripped,,0,0.000000,0ccfe59285d71b95f19e7f3b4d2728727107f5b0f4f0f2f768b3ec9a02ff42fe,
