call_site,containing_function,source_path,line,expression
004e5d1e,004e5d00,C:\Projects\Wizardry 8\Local Code\MonsterManager.cpp,1513,pMonsterInfo != NULL
004e63b3,004e6370,C:\Projects\Wizardry 8\Local Code\MonsterManager.cpp,1513,pMonsterInfo != NULL
004e64da,004e6370,C:\Projects\Wizardry 8\Local Code\MonsterManager.cpp,1513,pMonsterInfo != NULL
004e3f05,004e3c70,C:\Projects\Wizardry 8\Local Code\MonsterManager.cpp,1523,uiMonsterSpecies < MAX_MONSTERS_IN_DATABASE
004e4735,004e46f0,C:\Projects\Wizardry 8\Local Code\MonsterManager.cpp,1523,uiMonsterSpecies < MAX_MONSTERS_IN_DATABASE
004e57df,004e57c0,C:\Projects\Wizardry 8\Local Code\MonsterManager.cpp,1523,uiMonsterSpecies < MAX_MONSTERS_IN_DATABASE
004e58f1,004e58b0,C:\Projects\Wizardry 8\Local Code\MonsterManager.cpp,1523,uiMonsterSpecies < MAX_MONSTERS_IN_DATABASE
004e5b6f,004e5b50,C:\Projects\Wizardry 8\Local Code\MonsterManager.cpp,1523,uiMonsterSpecies < MAX_MONSTERS_IN_DATABASE
004e5d43,004e5d00,C:\Projects\Wizardry 8\Local Code\MonsterManager.cpp,1523,uiMonsterSpecies < MAX_MONSTERS_IN_DATABASE
004e63d8,004e6370,C:\Projects\Wizardry 8\Local Code\MonsterManager.cpp,1523,uiMonsterSpecies < MAX_MONSTERS_IN_DATABASE
004e64ff,004e6370,C:\Projects\Wizardry 8\Local Code\MonsterManager.cpp,1523,uiMonsterSpecies < MAX_MONSTERS_IN_DATABASE
004e589d,004e5840,C:\Projects\Wizardry 8\Local Code\MonsterManager.cpp,1574,FALSE
004e5b0c,004e5af0,C:\Projects\Wizardry 8\Local Code\MonsterManager.cpp,1721,pMonsterInfo
004e5dae,004e5d00,C:\Projects\Wizardry 8\Local Code\MonsterManager.cpp,1933,uiMonsterAttribute < MONSTER_ATTR_COUNT
004e5df7,004e5d00,C:\Projects\Wizardry 8\Local Code\MonsterManager.cpp,1944,FALSE
004e603a,004e6020,C:\Projects\Wizardry 8\Local Code\MonsterManager.cpp,2139,pMonsterInfo
004e6149,004e60b0,C:\Projects\Wizardry 8\Local Code\MonsterManager.cpp,2232,pMonsterInfo
00509e15,00509cd0,C:\Projects\Wizardry 8\Local Code\NPC Manager.cpp,404,pNode
0050a109,00509fc0,C:\Projects\Wizardry 8\Local Code\NPC Manager.cpp,535,uiSize <= sizeof(*pNode->pPCData)
0050bf62,0050bc90,C:\Projects\Wizardry 8\Local Code\NPC Manager.cpp,1956,pNPC
0050ba9a,0050b9e0,C:\Projects\Wizardry 8\Local Code\NPC Manager.cpp,1975,pNPC
0050d503,0050d480,C:\Projects\Wizardry 8\Local Code\NPC Manager.cpp,3052,pNPC
005067d3,00506670,C:\Projects\Wizardry 8\Local Code\NPC Scripting Facts.cpp,1556,pNPC
00506d41,00506670,C:\Projects\Wizardry 8\Local Code\NPC Scripting Facts.cpp,1590,pNPC
00506d7e,00506670,C:\Projects\Wizardry 8\Local Code\NPC Scripting Facts.cpp,1600,pTrigger
00527264,00526e90,C:\Projects\Wizardry 8\Local Code\NPC Scripting.cpp,1974,pDoor
0051ba1a,0051ba00,C:\Projects\Wizardry 8\Local Code\PC Item.cpp,376,gStatus.fItemInCursor
0051baa8,0051ba00,C:\Projects\Wizardry 8\Local Code\PC Item.cpp,404,gStatus.fGameStarted
0051badc,0051ba00,C:\Projects\Wizardry 8\Local Code\PC Item.cpp,405,fCHAR_OCCUPIED(uiChar)
0051c057,0051c020,C:\Projects\Wizardry 8\Local Code\PC Item.cpp,564,uiItemNo < gXStatus.uiItemsInDatabase
0051c1d6,0051c020,C:\Projects\Wizardry 8\Local Code\PC Item.cpp,578,uiMAX_DICE(pMulti) < 256
0051c22e,0051c020,C:\Projects\Wizardry 8\Local Code\PC Item.cpp,599,FALSE
0051d77a,0051d610,C:\Projects\Wizardry 8\Local Code\PC Item.cpp,1832,uiSpell != SPELL_NONE
0051d715,0051d610,C:\Projects\Wizardry 8\Local Code\PC Item.cpp,1844,uiSpell != SPELL_NONE
0051e717,0051dde0,C:\Projects\Wizardry 8\Local Code\PC Item.cpp,2356,FALSE
0051ebee,0051e9f0,C:\Projects\Wizardry 8\Local Code\PC Item.cpp,2642,pPCItem->iItemNo != -1
00520b9b,00520b40,C:\Projects\Wizardry 8\Local Code\PC Item.cpp,2875,pPCItem
0051f99c,0051f8d0,C:\Projects\Wizardry 8\Local Code\PC Item.cpp,3371,FALSE
0051fd4b,0051fd20,C:\Projects\Wizardry 8\Local Code\PC Item.cpp,3516,(pPCItem1->iItemNo != -1) || (pPCItem2->iItemNo != -1)
005205ca,005205b0,C:\Projects\Wizardry 8\Local Code\PC Item.cpp,3795,gStatus.fGameStarted
00520a8c,00520a70,C:\Projects\Wizardry 8\Local Code\PC Item.cpp,4113,pPCItem
005222e9,005222d0,C:\Projects\Wizardry 8\Local Code\PC Item.cpp,5403,pPCItem != NULL
004f2062,004f2040,C:\Projects\Wizardry 8\Local Code\RegionManager.cpp,470,uiRegionIndex < guiRegionCount
004f21ff,004f21e0,C:\Projects\Wizardry 8\Local Code\RegionManager.cpp,555,uiRegionSetIndex < guiRegsetCount
004f223f,004f2220,C:\Projects\Wizardry 8\Local Code\RegionManager.cpp,564,uiRegionSetIndex < guiRegsetCount
004f239f,004f22f0,C:\Projects\Wizardry 8\Local Code\RegionManager.cpp,601,uiRegionIndex < guiRegionCount
004f23ef,004f23d0,C:\Projects\Wizardry 8\Local Code\RegionManager.cpp,610,uiRegionIndex < guiRegionCount
004f243f,004f2420,C:\Projects\Wizardry 8\Local Code\RegionManager.cpp,637,uiRegionIndex < guiRegionCount
004f24af,004f2490,C:\Projects\Wizardry 8\Local Code\RegionManager.cpp,676,uiRegionIndex < guiRegionCount
004f256f,004f2550,C:\Projects\Wizardry 8\Local Code\RegionManager.cpp,710,uiRegionIndex < guiRegionCount
004f28a6,004f2880,C:\Projects\Wizardry 8\Local Code\RegionManager.cpp,1159,guiRegsetCount <= REGSET_LIMIT
004f28ff,004f28e0,C:\Projects\Wizardry 8\Local Code\RegionManager.cpp,1184,uiRegionSet < guiRegsetCount
004f29df,004f29c0,C:\Projects\Wizardry 8\Local Code\RegionManager.cpp,1247,uiRegionIndex <= guiRegionCount
004f2a4f,004f2a30,C:\Projects\Wizardry 8\Local Code\RegionManager.cpp,1286,uiRegionIndex <= guiRegionCount
004f2bcf,004f2bb0,C:\Projects\Wizardry 8\Local Code\RegionManager.cpp,1368,uiRegionIndex <= guiRegionCount
004f2c0f,004f2bf0,C:\Projects\Wizardry 8\Local Code\RegionManager.cpp,1375,uiRegionIndex <= guiRegionCount
00516e5b,00516e20,C:\Projects\Wizardry 8\Local Code\search.cpp,293,pSearchable
00516f3b,00516f00,C:\Projects\Wizardry 8\Local Code\search.cpp,337,pSearchable
00504a1c,005049c0,C:\Projects\Wizardry 8\Local Code\Sight.cpp,94,flViewingDistance > 0
00504d2b,005049c0,C:\Projects\Wizardry 8\Local Code\Sight.cpp,155,fFoundMissileVertex
00504d6b,005049c0,C:\Projects\Wizardry 8\Local Code\Sight.cpp,163,fFoundSpellVertex
00505065,005049c0,C:\Projects\Wizardry 8\Local Code\Sight.cpp,233,pNPC != NULL
0050540a,005049c0,C:\Projects\Wizardry 8\Local Code\Sight.cpp,347,pNPC != NULL
0050566e,005049c0,C:\Projects\Wizardry 8\Local Code\Sight.cpp,501,fFoundMissileVertex
005056ad,005049c0,C:\Projects\Wizardry 8\Local Code\Sight.cpp,509,fFoundSpellVertex
00505a73,00505a40,C:\Projects\Wizardry 8\Local Code\Sight.cpp,780,flViewingDistance > 0
005361c6,00536170,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,108,pTarget->iChar != BAD_INDEX
00536230,00536170,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,117,pTarget->iChar != BAD_INDEX
005363b7,00536170,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,180,pTarget->pPCItem != NULL
00537936,00537780,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,843,FALSE
0053842f,005383e0,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,1177,pSortBuffer != NULL
00539301,005392e0,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,1765,uiGroupID != BAD_INDEX
00538c97,00538c00,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,1888,pMonster
00539672,00539630,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,1888,pMonster
0053ab62,0053a930,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,1888,pMonster
0053ace1,0053ac30,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,1888,pMonster
0053adac,0053ac30,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,1888,pMonster
0053988c,00539870,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,2040,pMonsterInfo
0053996e,005398d0,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,2040,pMonsterInfo
00539b20,00539a30,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,2132,pSource->iType == SOURCE_TYPE_3D_POINT
0053b8e5,0053b660,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,3119,FALSE
00536be1,00536ad0,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,3163,FALSE
00537037,00536f60,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,3163,FALSE
00537433,00537380,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,3163,FALSE
005388eb,005387f0,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,3163,FALSE
0053b9ed,0053b920,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,3163,FALSE
0053bb6a,0053ba20,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,3163,FALSE
0053bdc7,0053bc10,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,3163,FALSE
0053cc1c,0053c920,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,3163,FALSE
0053bbb6,0053ba20,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,3207,FALSE
0053cc76,0053c920,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,3207,FALSE
00536e6b,00536ad0,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,3273,pSource != NULL
00537cd3,00537b00,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,3273,pSource != NULL
00537e59,00537d20,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,3273,pSource != NULL
00538014,00537d20,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,3273,pSource != NULL
00538ead,00538e00,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,3273,pSource != NULL
0053a5aa,0053a440,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,3273,pSource != NULL
0053a9fe,0053a930,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,3273,pSource != NULL
0053b53e,0053b310,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,3273,pSource != NULL
0053b741,0053b660,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,3273,pSource != NULL
0053be1a,0053be00,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,3273,pSource != NULL
0053d153,0053d010,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,3273,pSource != NULL
0053903b,00538e00,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,3285,pSource != NULL
0053be6a,0053be50,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,3285,pSource != NULL
00539a57,00539a30,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,3299,pSource->iChar != BAD_INDEX
0053bec2,0053bea0,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,3299,pSource->iChar != BAD_INDEX
0053c342,0053c320,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,3299,pSource->iChar != BAD_INDEX
0053c412,0053c3f0,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,3299,pSource->iChar != BAD_INDEX
0053beff,0053bea0,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,3307,pSource->fBackfire || pSource->fReflection
0053c37a,0053c320,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,3307,pSource->fBackfire || pSource->fReflection
0053c448,0053c3f0,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,3307,pSource->fBackfire || pSource->fReflection
0053bf32,0053bf10,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,3320,pSource->iMonsterID != BAD_INDEX
0053c3a1,0053c320,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,3320,pSource->iMonsterID != BAD_INDEX
0053bf6f,0053bf10,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,3328,pSource->fBackfire || pSource->fReflection
0053c3d6,0053c320,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,3328,pSource->fBackfire || pSource->fReflection
0053c619,0053c490,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,3577,FALSE
0053c885,0053c720,C:\Projects\Wizardry 8\Local Code\Targeting.cpp,3756,pMonsterInfo->uiHPMax > 0
005e3861,005e3800,C:\Projects\Wizardry 8\Local Code\Traps.cpp,148,iNumTargets > 0
00517c87,00517bd0,C:\Projects\Wizardry 8\Local Code\UtilityFunctions.cpp,315,_finite(flAngle)
00518349,00518310,C:\Projects\Wizardry 8\Local Code\UtilityFunctions.cpp,901,FALSE
00548fa7,00548f90,C:\Projects\Wizardry 8\Local Code\VideoObjectManager.cpp,45,VideoObjectsInitialized()
00549080,00548f90,C:\Projects\Wizardry 8\Local Code\VideoObjectManager.cpp,62,fReturnCode
0054900a,00548f90,C:\Projects\Wizardry 8\Local Code\VideoObjectManager.cpp,221,VideoObjectsInitialized()
00549557,00549420,C:\Projects\Wizardry 8\Local Code\VideoObjectManager.cpp,221,VideoObjectsInitialized()
005496ba,00549660,C:\Projects\Wizardry 8\Local Code\VideoObjectManager.cpp,221,VideoObjectsInitialized()
0054975a,00549700,C:\Projects\Wizardry 8\Local Code\VideoObjectManager.cpp,221,VideoObjectsInitialized()
00549995,00549950,C:\Projects\Wizardry 8\Local Code\VideoObjectManager.cpp,221,VideoObjectsInitialized()
005493aa,00549390,C:\Projects\Wizardry 8\Local Code\VideoObjectManager.cpp,230,VideoObjectsInitialized()
005493fa,00549390,C:\Projects\Wizardry 8\Local Code\VideoObjectManager.cpp,242,VideoObjectsInitialized()
0054980f,005497c0,C:\Projects\Wizardry 8\Local Code\VideoObjectManager.cpp,413,VideoObjectsInitialized()
00581808,005817d0,C:\Projects\Wizardry 8\Local Screens\AutomapScreen.cpp,2229,gpAMSV
00583bfb,00583bc0,C:\Projects\Wizardry 8\Local Screens\AutomapScreen.cpp,3333,gpstAutomapButtons
005c87d4,005c87b0,C:\Projects\Wizardry 8\Local Screens\CGSSpellsPage.cpp,594,m_SpellData[uiSelected].fSelectable
005c9374,005c9310,C:\Projects\Wizardry 8\Local Screens\CGSStatsPage.cpp,470,usItemsInList
005ae675,005ae510,C:\Projects\Wizardry 8\Local Screens\IntroScreen.cpp,98,gpVideo
00560637,0055f8c0,C:\Projects\Wizardry 8\Local Screens\MainGameScreen.cpp,4167,iNextChar != BAD_INDEX
00567ad8,00567800,C:\Projects\Wizardry 8\Local Screens\MainGameScreen.cpp,5851,gStatus.iSelectedCharacter != -1
0056b164,0056af80,C:\Projects\Wizardry 8\Local Screens\MainGameScreen.cpp,8317,FALSE
0056b1c4,0056af80,C:\Projects\Wizardry 8\Local Screens\MainGameScreen.cpp,8362,iActionState != -1
0056b44f,0056af80,C:\Projects\Wizardry 8\Local Screens\MainGameScreen.cpp,8529,FALSE
005bc98d,005bc810,C:\Projects\Wizardry 8\Local Screens\MainMenuScreen.cpp,135,gXStatus.uiMonstersInDatabase <= MAX_MONSTERS_IN_DATABASE
005963fa,005963e0,C:\Projects\Wizardry 8\Local Screens\MGSButtons.cpp,1615,gpSubMenuPanel
005a1f98,005a1eb0,C:\Projects\Wizardry 8\Local Screens\MGSPartyMovement.cpp,681,FALSE
0059b9c5,0059b940,C:\Projects\Wizardry 8\Local Screens\MGSPortraits.cpp,2272,gpLevelButtonsPanel
0059ba70,0059b940,C:\Projects\Wizardry 8\Local Screens\MGSPortraits.cpp,2295,gpLevelButtons[uiSlot]
0059bcd6,0059bca0,C:\Projects\Wizardry 8\Local Screens\MGSPortraits.cpp,2440,fCHAR_OCCUPIED(giLevelUpChar)
0059be35,0059bdb0,C:\Projects\Wizardry 8\Local Screens\MGSPortraits.cpp,2523,gpConditionButtonsPanel
0059beee,0059bdb0,C:\Projects\Wizardry 8\Local Screens\MGSPortraits.cpp,2540,gpConditionButtons[uiSlot]
0059bfda,0059bfc0,C:\Projects\Wizardry 8\Local Screens\MGSPortraits.cpp,2572,gConfig.uiCurrentLayout != LAYOUT_NORMAL
0059f9f0,0059f710,C:\Projects\Wizardry 8\Local Screens\MGSSpellCasting.cpp,771,gpSCSV->uiSpellToCast != SPELL_NONE
005a11ef,005a1150,C:\Projects\Wizardry 8\Local Screens\MGSSpellCasting.cpp,2100,iSpellPowerClass != BAD_INDEX
005aee2a,005aed90,C:\Projects\Wizardry 8\Local Screens\MGSSpellIcons.cpp,348,pText
005af39a,005af2d0,C:\Projects\Wizardry 8\Local Screens\MGSSpellIcons.cpp,737,pText
005af4b0,005af410,C:\Projects\Wizardry 8\Local Screens\MGSSpellIcons.cpp,781,pText
0058ac6b,0058ac00,C:\Projects\Wizardry 8\Local Screens\MGSTextBox.cpp,348,uiFontPaletteIndex <= FONT_PALETTE_COUNT
0058b396,0058af60,C:\Projects\Wizardry 8\Local Screens\MGSTextBox.cpp,547,pTextLine->wString != NULL
0058b431,0058b410,C:\Projects\Wizardry 8\Local Screens\MGSTextBox.cpp,583,ubStopChar >= ubStartChar
0058b4b6,0058b410,C:\Projects\Wizardry 8\Local Screens\MGSTextBox.cpp,609,gStatus.uiTextBoxLinesUsed[iTextBuffer] > 0
0058b4f9,0058b410,C:\Projects\Wizardry 8\Local Screens\MGSTextBox.cpp,611,pTextLine->wString != NULL
0058b54c,0058b410,C:\Projects\Wizardry 8\Local Screens\MGSTextBox.cpp,631,gStatus.uiTextBoxLinesUsed[iTextBuffer] >= 2
0058b624,0058b5f0,C:\Projects\Wizardry 8\Local Screens\MGSTextBox.cpp,677,gStatus.uiTextBoxLinesShown[iTextBuffer] < MAX_TEXT_BOX_LINES
0058c685,0058c3a0,C:\Projects\Wizardry 8\Local Screens\MGSTextBox.cpp,1085,pTextLine->wString != NULL
0058d2dd,0058d2c0,C:\Projects\Wizardry 8\Local Screens\MGSTextBox.cpp,1412,pTextLine->wString != NULL
0058d4e7,0058d2c0,C:\Projects\Wizardry 8\Local Screens\MGSTextBox.cpp,1498,pTextLine->ubStopChar >= pTextLine->ubStartChar
0058d5f5,0058d2c0,C:\Projects\Wizardry 8\Local Screens\MGSTextBox.cpp,1519,wcslen(pTextLine->wString) >= pTextLine->ubStopChar
005906c7,005905f0,C:\Projects\Wizardry 8\Local Screens\MGSTextBox.cpp,3986,gStatus.uiTextBoxLinesUsed[iTextBuffer] > 0
00590709,005905f0,C:\Projects\Wizardry 8\Local Screens\MGSTextBox.cpp,3988,pTextLine->wString != NULL
00590839,005905f0,C:\Projects\Wizardry 8\Local Screens\MGSTextBox.cpp,4009,gStatus.uiTextBoxLinesShown[iTextBuffer] > 0
005908be,005905f0,C:\Projects\Wizardry 8\Local Screens\MGSTextBox.cpp,4029,pTextLine->wString != NULL
00590c5e,00590bd0,C:\Projects\Wizardry 8\Local Screens\MGSTextBox.cpp,4254,gStatus.uiTextBoxLinesUsed[iTextBuffer] > 0
00590ca2,00590bd0,C:\Projects\Wizardry 8\Local Screens\MGSTextBox.cpp,4262,uiLastLineIndex >= uiGroupLine
00590cec,00590bd0,C:\Projects\Wizardry 8\Local Screens\MGSTextBox.cpp,4269,pTextLine->wString != NULL
0059e12b,0059e0f0,C:\Projects\Wizardry 8\Local Screens\MGSUseItemSelect.cpp,1729,giUseItemChar != BAD_INDEX
00579a22,00579900,C:\Projects\Wizardry 8\Local Screens\mipe.cpp,1765,pMonsterInfo && pMonsterInfo->p3D
0057aac3,0057a800,C:\Projects\Wizardry 8\Local Screens\mipe.cpp,2596,pMongen
0057d843,0057d740,C:\Projects\Wizardry 8\Local Screens\mipe.cpp,3749,pTempMonsterDB
0057d891,0057d740,C:\Projects\Wizardry 8\Local Screens\mipe.cpp,3755,pMonRec
0057de84,0057dc20,C:\Projects\Wizardry 8\Local Screens\mipe.cpp,4330,pMonsterInfo
0057df58,0057dc20,C:\Projects\Wizardry 8\Local Screens\mipe.cpp,4366,pMonsterInfo
005c435c,005c4340,C:\Projects\Wizardry 8\Local Screens\mipeEdit.cpp,522,bVarSet < NUM_VAR_SETS
005a8f14,005a8ed0,C:\Projects\Wizardry 8\Local Screens\OptionsScreen.cpp,1481,m_pMenuSet
005b665c,005b6630,C:\Projects\Wizardry 8\Local Screens\RCSCommon.cpp,2184,fCHAR_OCCUPIED(giReviewCharSlot)
005b697b,005b6950,C:\Projects\Wizardry 8\Local Screens\RCSCommon.cpp,2314,fCHAR_OCCUPIED(giReviewCharSlot)
005b6d4f,005b6d20,C:\Projects\Wizardry 8\Local Screens\RCSCommon.cpp,2476,gStatus.XChar[uiSlot].fOccupied
005b9ff9,005b9fd0,C:\Projects\Wizardry 8\Local Screens\RCSItemsPage.cpp,1348,FALSE
005bad91,005bad20,C:\Projects\Wizardry 8\Local Screens\RCSItemsPage.cpp,1891,pItem
005bbdb5,005bbd30,C:\Projects\Wizardry 8\Local Screens\RCSItemsPage.cpp,2682,ubSpell != SPELL_NONE
005a38e4,005a3520,C:\Projects\Wizardry 8\Local Screens\ReviewCharacterScreen.cpp,367,fFoundEquipChar
0055f09c,0055f080,C:\Projects\Wizardry 8\Local Screens\Screens.cpp,397,gXStatus.iCurrentCursor != -1
