program,address,section,kind,slot_count,boundary,vptr_write_count,store_displacements,pure_virtual_slots,adjustor_thunk_slots,import_slots,allocation_sizes
wiz8--demo--wiz8--8acda50afe39,005f8280,.rdata,vftable,1,code-reference-boundary,2,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f8284,.rdata,vftable,1,code-reference-boundary,2,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f8288,.rdata,vftable,1,code-reference-boundary,2,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f828c,.rdata,vftable,1,code-reference-boundary,2,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f8290,.rdata,vftable,1,code-reference-boundary,2,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f8294,.rdata,vftable,1,code-reference-boundary,4,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f8298,.rdata,vftable,1,code-reference-boundary,3,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f829c,.rdata,vftable,1,code-reference-boundary,3,0x0 0xc,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f82a0,.rdata,vftable,1,code-reference-boundary,3,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f82a4,.rdata,vftable,1,code-reference-boundary,2,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f82a8,.rdata,vftable,1,code-reference-boundary,2,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f82ac,.rdata,vftable,1,code-reference-boundary,16,0x0,0,0,0,0x10|0x1f8
wiz8--demo--wiz8--8acda50afe39,005f82b0,.rdata,vftable,1,code-reference-boundary,9,0x0,0,0,0,0x10
wiz8--demo--wiz8--8acda50afe39,005f82d0,.rdata,vftable,1,code-reference-boundary,2,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f82d4,.rdata,vftable,1,code-reference-boundary,3,0x0,0,0,0,
wiz8--demo--wiz8--8acda50afe39,005f82e8,.rdata,vftable,5,code-reference-boundary,3,0x0,0,0,0,0x190
