program,site,function_start,object_offset,vtable,allocation_size
wiz8--gog-1261--wiz8new--57a3072c2f83,00492d88,00492d00,0x0,005ecb6c,
wiz8--gog-1261--wiz8new--57a3072c2f83,00492e31,00492d00,0x0,005ecb38,
wiz8--gog-1261--wiz8new--57a3072c2f83,00497b1a,00497af0,0x0,005ecc04,
wiz8--gog-1261--wiz8new--57a3072c2f83,00497bae,00497af0,0x0,005ecbd0,
wiz8--gog-1261--wiz8new--57a3072c2f83,004981b1,00498180,0x0,005ecc04,
wiz8--gog-1261--wiz8new--57a3072c2f83,00498259,00498180,0x0,005ecbd0,
wiz8--gog-1261--wiz8new--57a3072c2f83,00498a40,00498a20,0x0,005ecbd0,
wiz8--gog-1261--wiz8new--57a3072c2f83,00498b9b,00498a20,0x0,005ecc04,
wiz8--gog-1261--wiz8new--57a3072c2f83,0049b9af,0049b990,0x0,005ecc04,
wiz8--gog-1261--wiz8new--57a3072c2f83,0049c2ec,0049c2c0,0x0,005ecca4,
wiz8--gog-1261--wiz8new--57a3072c2f83,0049c387,0049c2c0,0x0,005ecc64,
wiz8--gog-1261--wiz8new--57a3072c2f83,0049c38d,0049c2c0,0x138,005ecc58,
wiz8--gog-1261--wiz8new--57a3072c2f83,0049c452,0049c430,0x0,005ecc64,
wiz8--gog-1261--wiz8new--57a3072c2f83,0049c458,0049c430,0x138,005ecc58,
wiz8--gog-1261--wiz8new--57a3072c2f83,0049c48d,0049c430,0x0,005ecca4,
wiz8--gog-1261--wiz8new--57a3072c2f83,0049c53d,0049c430,0x0,005ecd18,
wiz8--gog-1261--wiz8new--57a3072c2f83,0049c5f3,0049c430,0x0,005ebfd0,
wiz8--gog-1261--wiz8new--57a3072c2f83,0049c5f9,0049c430,0x0,005eccd8,
wiz8--gog-1261--wiz8new--57a3072c2f83,0049d688,0049d660,0x0,005ecd18,
wiz8--gog-1261--wiz8new--57a3072c2f83,0049dda2,0049dd80,0x0,005ecca4,
wiz8--gog-1261--wiz8new--57a3072c2f83,0049de52,0049dd80,0x0,005ecd18,
wiz8--gog-1261--wiz8new--57a3072c2f83,0049df08,0049dd80,0x0,005ebfd0,
wiz8--gog-1261--wiz8new--57a3072c2f83,0049df0e,0049dd80,0x0,005eccd8,
wiz8--gog-1261--wiz8new--57a3072c2f83,0049dfff,0049dfe0,0x0,005eccd8,
wiz8--gog-1261--wiz8new--57a3072c2f83,0049e0f8,0049e0d0,0x0,005ecd18,
wiz8--gog-1261--wiz8new--57a3072c2f83,0049e1b7,0049e0d0,0x0,005ebfd0,
