program,funcinfo,magic,handler_thunk,frame_setup,eh_setup_start,max_state,try_block_count,unwind_signature
wiz8--gog-1261--wiz8new--57a3072c2f83,005f14f8,19930520,005e50fd,0047dae2,0047dae0,5,0,5|0|-1:pointer-import:-20|-1:pointer:-20|1:pointer:-16|2:pointer-import:-16|2:pointer:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1540,19930520,005e512c,0047de62,0047de60,3,0,3|0|-1:pointer:-16|0:pointer-import:-16|0:pointer:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1578,19930520,005e5151,0047dff2,0047dff0,2,0,2|0|-1:pointer:-16|-1:pointer-import:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f15a8,19930520,005e5171,0047e602,0047e600,2,0,2|0|-1:pointer:-16|-1:pointer-import:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f15d8,19930520,005e5189,0047e832,0047e830,1,0,1|0|-1:pointer-import:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1600,19930520,005e51a9,0047eac2,0047eac0,1,0,1|0|-1:pointer-import:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1628,19930520,005e51df,0047ec82,0047ec80,3,0,3|0|-1:pointer-import:-16|-1:pointer:-16|1:pointer:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1660,19930520,005e520f,0047ef72,0047ef70,3,0,3|0|-1:pointer:-16|0:pointer:-16|-1:pointer-import:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1698,19930520,005e5231,0047f0f2,0047f0f0,2,0,2|0|-1:pointer-import:-16|-1:pointer:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f16c8,19930520,005e5251,0047f412,0047f410,2,0,2|0|-1:pointer:-16|-1:pointer-import:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f16f8,19930520,005e5287,0047f932,0047f930,3,0,3|0|-1:pointer:-452|0:pointer:-452|-1:pointer:-596
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1730,19930520,005e52ae,00480928,00480926,1,0,1|0|-1:pointer:-520
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1758,19930520,005e52d6,004813f2,004813f0,2,0,2|0|-1:pointer:-48|-1:pointer:-48
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1788,19930520,005e52e9,00481942,00481940,1,0,1|0|-1:pointer-import:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f17b0,19930520,005e5309,00481b22,00481b20,1,0,1|0|-1:pointer-import:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f17d8,19930520,005e532b,00481dd2,00481dd0,1,0,1|0|-1:pointer:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1800,19930520,005e535c,00481e32,00481e30,3,0,3|0|-1:pointer:-16|0:pointer-import:-16|0:pointer:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1838,19930520,005e5386,00483758,00483756,2,0,2|0|-1:pointer:4|-1:pointer:4
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1868,19930520,005e53ac,00484be2,00484be0,3,0,3|0|-1:pointer-import:-16|-1:pointer:-16|1:pointer:-20
wiz8--gog-1261--wiz8new--57a3072c2f83,005f18a0,19930520,005e53e7,00484e62,00484e60,4,0,4|0|-1:pointer:-16|0:pointer-import:-16|0:pointer:-16|2:pointer:-20
wiz8--gog-1261--wiz8new--57a3072c2f83,005f18e0,19930520,005e541c,00485072,00485070,3,0,3|0|-1:pointer-import:-16|-1:pointer:-16|1:pointer:-20
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1918,19930520,005e5441,00485292,00485290,2,0,2|0|-1:pointer:-16|-1:pointer-import:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1948,19930520,005e5459,00485912,00485910,1,0,1|0|-1:pointer-import:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1970,19930520,005e5486,00485c12,00485c10,2,0,2|0|-1:object:-248|0:object:-232
wiz8--gog-1261--wiz8new--57a3072c2f83,005f19a0,19930520,005e54ab,00486978,00486976,3,0,3|0|-1:pointer:-44|-1:object:-28|-1:object:-40
wiz8--gog-1261--wiz8new--57a3072c2f83,005f19d8,19930520,005e54c8,00488242,00488240,1,0,1|0|-1:object:-84
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1a00,19930520,005e557b,00488652,00488650,10,0,10|0|-1:pointer:-880|-1:object:-800|1:object:-140|2:object:-816|3:object:-832|4:object:-428|5:object:-268|6:pointer:-880|6:pointer:-880|6:pointer:-880
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1a70,19930520,005e55d3,0048a7a2,0048a7a0,5,0,5|0|-1:pointer:-1568|0:pointer:-1568|1:pointer:-1568|2:pointer:-1568|3:pointer:-1568
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1ab8,19930520,005e55e8,0048ad22,0048ad20,1,0,1|0|-1:object:-28
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1ae0,19930520,005e560b,0048b428,0048b426,1,0,1|0|-1:pointer:-24
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1b08,19930520,005e562b,0048c472,0048c470,1,0,1|0|-1:pointer:-48
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1b30,19930520,005e5648,0048ca28,0048ca26,1,0,1|0|-1:object:-28
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1b58,19930520,005e56bf,0048d085,0048d083,9,0,9|0|-1:object-import:-68|0:object-import:-240|1:pointer:-16|1:pointer:-16|1:pointer:-16|4:pointer:-16|1:pointer:-16|1:pointer:-16|1:pointer:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1bc0,19930520,005e56db,0048f942,0048f940,1,0,1|0|-1:pointer:-16
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1be8,19930520,005e5703,00490218,00490216,2,0,2|0|-1:pointer:-96|0:pointer:-96
wiz8--gog-1261--wiz8new--57a3072c2f83,005f1c18,19930520,005e572a,004925b2,004925b0,3,0,3|0|-1:pointer-import:-16|-1:pointer:-16|-1:pointer-import:-16
