program,funcinfo,state,to_state,kind,frame_offset,target,import_slot,import_name,import_signature,element_destructor
wiz8--demo--wiz8--8acda50afe39,005fc3c0,2,-1,pointer,4,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc3c0,3,-1,pointer,4,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc3c0,4,-1,pointer,4,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc3c0,5,-1,pointer,4,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc3c0,6,-1,pointer,4,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc3c0,7,-1,pointer,4,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc3c0,8,-1,pointer,4,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc3c0,9,-1,pointer,4,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc3c0,10,-1,pointer,4,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc3c0,11,-1,pointer,4,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc3c0,12,-1,pointer,4,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc3c0,13,-1,pointer,4,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc3c0,14,-1,pointer,4,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc3c0,15,-1,pointer,-24,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc3c0,16,15,pointer,-20,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc3c0,17,15,pointer,-20,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc3c0,18,-1,pointer,-20,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc478,0,-1,pointer,-16,0046fab0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc4a0,0,-1,pointer,-420,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc4c8,0,-1,object,-352,0043a100,,,,
wiz8--demo--wiz8--8acda50afe39,005fc4c8,1,0,object,-384,0043a0e0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc4f8,0,-1,pointer,-288,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc520,0,-1,object,-168,0046fab0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc548,0,-1,object,-168,0046fab0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc570,0,-1,pointer,-20,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc570,1,-1,pointer,-16,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc5a0,0,-1,pointer,-20,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc5c8,0,-1,pointer,-20,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc5f0,0,-1,object-import,-1500,,005f7774,sr.dll!??_DsrBinIMStream@@QAEXXZ,public: void __thiscall srBinIMStream::`vbase dtor'(void),
wiz8--demo--wiz8--8acda50afe39,005fc5f0,1,0,object-import,-1320,,005f777c,sr.dll!??1Decompressor@srHuffman@@QAE@XZ,public: __thiscall srHuffman::Decompressor::~Decompressor(void),
wiz8--demo--wiz8--8acda50afe39,005fc620,0,-1,object-import,-208,,005f779c,sr.dll!??_DsrBinOMStream@@QAEXXZ,public: void __thiscall srBinOMStream::`vbase dtor'(void),
wiz8--demo--wiz8--8acda50afe39,005fc620,1,0,object-import,-96,,005f77a8,sr.dll!??1BitOStream@srHuffman@@QAE@XZ,public: __thiscall srHuffman::BitOStream::~BitOStream(void),
wiz8--demo--wiz8--8acda50afe39,005fc620,2,1,object-import,-164,,005f7798,sr.dll!??1Sampler@srHuffman@@QAE@XZ,public: __thiscall srHuffman::Sampler::~Sampler(void),
wiz8--demo--wiz8--8acda50afe39,005fc620,3,2,object-import,-136,,005f77ac,sr.dll!??1Compressor@srHuffman@@QAE@XZ,public: __thiscall srHuffman::Compressor::~Compressor(void),
wiz8--demo--wiz8--8acda50afe39,005fc620,4,1,object,-164,0049a460,,,,
wiz8--demo--wiz8--8acda50afe39,005fc620,5,-1,pointer-import,-220,,005f7794,sr.dll!??1srBinOStream@@UAE@XZ,public: virtual __thiscall srBinOStream::~srBinOStream(void),
wiz8--demo--wiz8--8acda50afe39,005fc620,6,-1,pointer-import,-220,,005f7794,sr.dll!??1srBinOStream@@UAE@XZ,public: virtual __thiscall srBinOStream::~srBinOStream(void),
wiz8--demo--wiz8--8acda50afe39,005fc620,7,-1,pointer-import,-220,,005f7794,sr.dll!??1srBinOStream@@UAE@XZ,public: virtual __thiscall srBinOStream::~srBinOStream(void),
wiz8--demo--wiz8--8acda50afe39,005fc680,0,-1,pointer-import,-16,,005f76fc,sr.dll!??1srClass@@MAE@XZ,protected: virtual __thiscall srClass::~srClass(void),
wiz8--demo--wiz8--8acda50afe39,005fc6a8,0,-1,pointer,-16,00447190,,,,
wiz8--demo--wiz8--8acda50afe39,005fc6a8,1,-1,pointer-import,-16,,005f76fc,sr.dll!??1srClass@@MAE@XZ,protected: virtual __thiscall srClass::~srClass(void),
wiz8--demo--wiz8--8acda50afe39,005fc6d8,0,-1,pointer,-16,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc700,0,-1,pointer,-144,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fc728,0,-1,pointer,-176,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fc750,0,-1,pointer,-328,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc750,1,-1,pointer,-328,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc750,2,-1,pointer,-328,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc750,3,-1,pointer,-288,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc750,4,-1,pointer,-288,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc750,5,-1,pointer,-328,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc750,6,-1,pointer,-288,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc750,7,-1,pointer,-328,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc750,8,-1,pointer,-328,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc750,9,-1,pointer,-328,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc7c0,0,-1,pointer,-2504,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fc7c0,1,-1,pointer,-2512,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc7f0,0,-1,pointer,-40,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc818,0,-1,pointer,-16,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc818,1,-1,pointer,4,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc848,0,-1,object,-28,00447400,,,,
wiz8--demo--wiz8--8acda50afe39,005fc870,0,-1,pointer,8,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fc898,0,-1,pointer,-528,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc8c0,0,-1,pointer-import,-16,,005f76fc,sr.dll!??1srClass@@MAE@XZ,protected: virtual __thiscall srClass::~srClass(void),
wiz8--demo--wiz8--8acda50afe39,005fc8e8,0,-1,pointer,-16,00472100,,,,
wiz8--demo--wiz8--8acda50afe39,005fc910,0,-1,pointer,-16,0046fab0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc938,0,-1,pointer,-16,0046fab0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc960,0,-1,object,-168,0046fab0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc960,1,0,pointer,-208,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc990,0,-1,object,-168,0046fab0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc990,1,0,pointer,-200,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc9c0,0,-1,object,-168,0046fab0,,,,
wiz8--demo--wiz8--8acda50afe39,005fc9e8,0,-1,object,-192,0046fab0,,,,
wiz8--demo--wiz8--8acda50afe39,005fca10,0,-1,pointer,4,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fca38,0,-1,pointer,-16,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fca38,1,-1,pointer,-16,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fca68,0,-1,pointer,8,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fca90,0,-1,pointer,-120,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fca90,1,-1,pointer,-120,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fcac0,0,-1,pointer,4,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fcae8,0,-1,object,-1072,0049a460,,,,
wiz8--demo--wiz8--8acda50afe39,005fcae8,1,0,object,-1052,0049a460,,,,
wiz8--demo--wiz8--8acda50afe39,005fcb18,0,-1,pointer,-16,00450280,,,,
wiz8--demo--wiz8--8acda50afe39,005fcb18,1,0,pointer,-16,00450260,,,,
wiz8--demo--wiz8--8acda50afe39,005fcb48,0,-1,pointer,-16,00450280,,,,
wiz8--demo--wiz8--8acda50afe39,005fcb48,1,0,pointer,-16,00450260,,,,
wiz8--demo--wiz8--8acda50afe39,005fcb78,0,-1,pointer,-32,004b9590,,,,
wiz8--demo--wiz8--8acda50afe39,005fcb78,1,0,pointer,-28,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fcb78,2,1,pointer,-28,00450280,,,,
wiz8--demo--wiz8--8acda50afe39,005fcb78,3,0,pointer,-28,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fcbb8,0,-1,pointer,-16,004b9590,,,,
wiz8--demo--wiz8--8acda50afe39,005fcbe0,0,-1,pointer,4,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fcc08,0,-1,pointer,-16,005eadb0,,,,
wiz8--demo--wiz8--8acda50afe39,005fcc30,0,-1,pointer,8,005eadb0,,,,
