program,storage_class,unit,lower,upper,baseline_globals
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Local Code\NPC Scripting.cpp,0068c358,0068c501,27
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Local Code\MonsterAI.cpp,0068d520,0068d525,3
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Local Code\Factions.cpp,0068d528,0068d6e9,3
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Local Code\Combat Sound.cpp,0068d850,0068de28,4
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Local Code\ButtonSound.cpp,0068de38,0068de3c,2
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Local Screens\Screens.cpp,0068ed10,0068edac,3
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Local Screens\mipe.cpp,0068f0fe,0068f134,15
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Local Screens\AutomapScreen.cpp,0068f154,0068f2ac,41
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Local Screens\MGSTextBox.cpp,0068f2b4,0069b7d0,22
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Local Screens\MGSButtons.cpp,0069b87e,0069b8ec,5
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Local Screens\MGSPortraits.cpp,0069b920,0069b948,4
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Local Screens\MGSUseItemSelect.cpp,0069b950,0069bf38,22
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Local Screens\MGSPartyMovement.cpp,0069bf40,0069c0e4,17
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Local Screens\IntroScreen.cpp,0069c258,0069c258,1
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Local Screens\MGSSpellIcons.cpp,0069c25c,0069c2c0,10
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Local Screens\RCSCommon.cpp,0069c3c0,0069c404,18
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Local Screens\RCSItemsPage.cpp,0069c424,0069c480,11
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Local Screens\MainMenuScreen.cpp,0069c4ac,0069c4c4,9
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Dialog Code\DialogInterface.cpp,0069c568,0069c5c8,5
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Dialog Code\stMessageDialog.cpp,0069c5d4,0069c80f,9
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Dialog Code\AssayDialog.cpp,0069c814,0069c818,3
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Dialog Code\stButton.cpp,0069ca24,0069ca25,2
wiz8--gog-base--wiz8--18a74ff61c65,.data/bss,Dialog Code\SpellInfoDialog.cpp,0069ca2c,0069ca2d,2
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\GameData.cpp,00603ac4,00603bd8,10
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\Video2.cpp,00603c48,00604060,3
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\Levels.cpp,00604470,00605a88,21
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\Octree.cpp,00605afc,006066f0,73
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\BitArray.cpp,006068f0,00606960,5
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\Trigger.cpp,00606998,00606e58,37
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\OctBuildTree.cpp,00606e94,00606ee4,3
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\GDFileIO.cpp,00606f44,00607828,58
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\Prop.cpp,00607b98,00607d30,13
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\3dapi.cpp,00607d7c,006081f8,42
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\Navigator.cpp,006081fc,00608230,2
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\OctPath.cpp,0060827a,0060908c,103
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\OctPreTree.cpp,0060909c,00609c50,62
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\3d.cpp,00609ca8,00609d10,7
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\stMeshModel.cpp,00609d34,00609e90,16
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\AmbientSound.cpp,0060a168,0060a1c0,4
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\Quality.cpp,0060a25c,0060a268,2
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\stModelInstance.cpp,0060a340,0060a350,2
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\Environment.cpp,0060a390,0060a448,13
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\ReadMesh.cpp,0060a470,0060a6a4,21
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\MonGen.cpp,0060a6b8,0060a984,22
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\stCube.cpp,0060a9b4,0060aa58,9
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\Cursor3d.cpp,0060aba0,0060ac00,5
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\stParticle.cpp,0060bf60,0060bfc8,8
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\OctSubMesh.cpp,0060bff4,0060c7b4,37
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\Item.cpp,0060c7ec,0060c8b0,8
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\AnimObj.cpp,0060c8c8,0060c97c,5
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\Missile.cpp,0060c9c8,0060cc9c,21
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\GrCycle.cpp,0060ccc0,0060ceac,19
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\PathAI.CPP,0060cedc,0060cf60,7
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\Spells.cpp,0060cf80,0060da7c,25
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\OctBuildPreTree.cpp,0060dc98,0060dd14,4
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\AnimRep.cpp,0060ddd4,0060de10,3
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\AniMesh.cpp,0060de48,0060df6c,13
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\GrObject.cpp,0060dfac,0060dfc4,3
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\GDProp.cpp,0060dff4,0060e07c,5
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\materials.cpp,0060e0a0,0060e108,7
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\UpdateMesh.cpp,0060e14c,0060e160,2
wiz8--gog-base--wiz8--18a74ff61c65,.data/initialized,Engine Code\ReadLevel.cpp,0060e194,0060e5b0,30
