address|name|size|type
100088e0|fill_input_buffer|121|library
10008960|skip_input_data|61|library
10008b40|start_output_pass|79|library
10009cf0|jdcolor_null_convert|135|library
1000af80|consume_markers|199|library
1000b250|reset_input_controller|68|library
1000b5f0|jdmainct_process_data_simple_main|116|library
1000b670|process_data_context_main|322|library
1000c160|read_markers|543|library
1000d4a0|read_restart_marker|139|library
1000db50|prepare_for_output_pass|348|library
1000df20|merged_1v_upsample|58|library
1000f330|post_process_prepass|163|library
1000f3e0|post_process_2pass|166|library
1000fdd0|error_exit|86|library
100121f0|request_virt_sarray|110|library
10012260|request_virt_barray|110|library
100122d0|realize_virt_arrays|385|library
10012990|jpeg_free_small|13|library
100129b0|jpeg_free_large|13|library
100129c0|jpeg_mem_available|5|library
100129d0|jpeg_open_backing_store|20|library
100129f0|jpeg_mem_init|3|library
10012a00|jpeg_mem_term|1|library
10012ec0|start_pass_1_quant|236|library
10001460|jpeg_abort_compress|12|library
100015d0|jpeg_write_marker|87|library
10001630|jpeg_write_tables|83|library
100017e0|jpeg_write_raw_data|201|library
10001a70|compress_data|618|library
10001ce0|compress_first_pass|580|library
10002360|rgb_ycc_start|221|library
10002440|rgb_ycc_convert|295|library
10002620|cmyk_ycck_convert|359|library
10002800|jccolor_null_convert|147|library
100028a0|null_method|1|library
10002950|start_pass_fdctmgr|505|library
10002b50|forward_DCT|409|library
10002cf0|forward_DCT_float|441|library
10003240|start_pass_huff|396|library
100033d0|encode_mcu_huff|306|library
10003830|finish_pass_huff|127|library
100038b0|encode_mcu_gather|220|library
10003a30|finish_pass_gather|264|library
10003c90|jcmainct_start_pass_main|78|library
100042f0|write_scan_header|190|library
10004590|write_file_trailer|19|library
10005120|finish_pass_master|120|library
100058b0|jpeg_simple_progression|384|library
10005a30|fill_a_scan|49|library
10005a70|fill_scans|74|library
10005ac0|fill_dc_scans|97|library
10005b70|start_pass_phuff|454|library
10005d40|encode_mcu_DC_first|323|library
10006170|encode_mcu_AC_first|443|library
100063f0|encode_mcu_AC_refine|549|library
10006620|finish_pass_phuff|64|library
10006660|finish_pass_gather_phuff|235|library
10006800|start_pass_prep|71|library
10006850|pre_process_data|381|library
10006a10|pre_process_context|576|library
10006f10|start_pass_downsample|1|library
10006f20|sep_downsample|134|library
10006fb0|int_downsample|300|library
10007190|h2v1_downsample|167|library
10007240|h2v2_downsample|218|library
10007320|h2v2_smooth_downsample|745|library
10007610|fullsize_smooth_downsample|415|library
100077b0|jpeg_write_coefficients|90|library
10007810|jpeg_copy_critical_parameters|495|library
10007a00|transencode_master_selection|114|library
