container,binary_path,binary_sha256,record_kind,origin,encoding,extension,value
setup_wizardry_8_2001_12_23_(22306).exe,Dll/srEXT_FLIC.dll,3ce83b9944f4d26f027c5b322a5dbea97cfe6339a7298b25914f67f35ccfd281,path,codeview,ascii,.pdb,D:\srsdk1x\msvc6\obj\extensions\flic\release\srEXT_FLIC.pdb
setup_wizardry_8_2001_12_23_(22306).exe,Dll/srEXT_HTTP.dll,ade27ce64a7af1824aeb5ba65f908bab56344311cd8f45c0c65edde02d1d87af,path,codeview,ascii,.pdb,D:\srsdk1x\msvc6\obj\extensions\http\release\srEXT_HTTP.pdb
setup_wizardry_8_2001_12_23_(22306).exe,Dll/srEXT_Inspector.dll,6bc2949d6c9bca35ecc37e8f4f98ed36886a075f00d69ae86687d38f682387a1,path,codeview,ascii,.pdb,D:\srsdk1x\msvc6\obj\extensions\inspector\release\srEXT_Inspector.pdb
setup_wizardry_8_2001_12_23_(22306).exe,Dll/srEXT_JPEGImporter.dll,0bf545937bd86ce2195c08b6dbf6b70e1a1071a9fce449ccb9f06dfa384de490,path,codeview,ascii,.pdb,D:\srsdk1x\msvc6\obj\extensions\jpegimporter\release\srEXT_JPEGImporter.pdb
setup_wizardry_8_2001_12_23_(22306).exe,Dll/srEXT_LWOImporter.dll,a681095372decd2639d0ea14bdbadb362b7aeac04f137dc1558856212479932a,path,codeview,ascii,.pdb,D:\srsdk1x\msvc6\obj\extensions\LWOImporter\Release\srEXT_LWOImporter.pdb
setup_wizardry_8_2001_12_23_(22306).exe,Dll/srEXT_MPEG.dll,42344e67d5de0b962652677d70891402dae16b0f39979693539867f779455ecd,path,codeview,ascii,.pdb,D:\srsdk1x\msvc6\obj\extensions\mpeg\release\srEXT_MPEG.pdb
setup_wizardry_8_2001_12_23_(22306).exe,Dll/srVP_KNI.dll,895b5fb3f4982f7a70e7bfc518fed1d674587380d708487f57a0a00e0c9669cc,compiler-command,embedded-string,ascii,,Intel(R) C/C++ Compiler Version 4.5 00015  : D:\srsdk1x\sources\Vp\Kni\kniICL.cpp : -Qvc6 -nologo -G6 -Zp16 -MD -W3 -GX -Zi -O2 -Ob2 -I ../include -I ../include\VP -D WIN32 -D NDEBUG -D _WINDOWS -D _USE_INTEL_COMPILER -FAs -Faobj\vp\KNI\release/ -Fpobj\vp\KNI\release/srVP_KNI.pch -YX -Foobj\vp\KNI\release/ -Fdobj\vp\KNI\release/ -FD -c
setup_wizardry_8_2001_12_23_(22306).exe,Dll/srVP_KNI.dll,895b5fb3f4982f7a70e7bfc518fed1d674587380d708487f57a0a00e0c9669cc,path,codeview,ascii,.pdb,D:\srsdk1x\msvc6\obj\vp\KNI\release\srVP_KNI.pdb
setup_wizardry_8_2001_12_23_(22306).exe,Dll/srVP_KNI.dll,895b5fb3f4982f7a70e7bfc518fed1d674587380d708487f57a0a00e0c9669cc,path,embedded-string,ascii,.cpp,D:\srsdk1x\sources\Vp\Kni\kniICL.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Dll/srVP_PentiumII.dll,2cadefd51ed177c762ccbc6be0181fc70e6e26ecaf04b1b475298f206fed518c,path,codeview,ascii,.pdb,D:\srsdk1x\msvc6\obj\vp\PentiumII\release\srVP_PentiumII.pdb
setup_wizardry_8_2001_12_23_(22306).exe,Dll/srVP_x86.dll,bbec96aa91b6988618fb4ec07696baed01ca556a3eab6f3836f9f475b45730c2,path,codeview,ascii,.pdb,D:\srsdk1x\msvc6\obj\vp\x86\release\srVP_x86.pdb
setup_wizardry_8_2001_12_23_(22306).exe,MSVCIRT.DLL,647f7534aaaedffa93534e4cb9b24bfcf91524828ff0364d88973be58139e255,path,codeview,ascii,.pdb,E:\8168\vc98\self\bin\x86\msvcirt.pdb
setup_wizardry_8_2001_12_23_(22306).exe,MSVCP60.DLL,2b6b93c2d66969eb00258e2b5ad6172decebada096e3b1b077a3380c80e4a072,path,codeview,ascii,.pdb,E:\8168\vc98\self\bin\x86\msvcp60.pdb
setup_wizardry_8_2001_12_23_(22306).exe,MSVCRT.DLL,d4287ab5e4988dfe99bd54243d50dbe8744094f11fe5f9809a1a6fb9728c2124,path,codeview,ascii,.pdb,E:\8337\vc98\self\bin\x86\msvcrt.pdb
setup_wizardry_8_2001_12_23_(22306).exe,MSVCRT.DLL,d4287ab5e4988dfe99bd54243d50dbe8744094f11fe5f9809a1a6fb9728c2124,path,embedded-string,ascii,.cpp,setnewh.cpp
setup_wizardry_8_2001_12_23_(22306).exe,sr.dll,cec1caf85861c34bc4583ef1c69209e96a6930bdfc9af545c429f7470a8b6165,path,codeview,ascii,.pdb,D:\srsdk1x\msvc6\obj\sr\release\sr.pdb
setup_wizardry_8_2001_12_23_(22306).exe,sr.dll,cec1caf85861c34bc4583ef1c69209e96a6930bdfc9af545c429f7470a8b6165,path,embedded-string,ascii,.cpp,D:\srsdk1x\sources\corelib\srClass.cpp
setup_wizardry_8_2001_12_23_(22306).exe,sr.dll,cec1caf85861c34bc4583ef1c69209e96a6930bdfc9af545c429f7470a8b6165,path,embedded-string,ascii,.cpp,D:\srsdk1x\sources\corelib\srFog.cpp
setup_wizardry_8_2001_12_23_(22306).exe,sr.dll,cec1caf85861c34bc4583ef1c69209e96a6930bdfc9af545c429f7470a8b6165,path,embedded-string,ascii,.cpp,D:\srsdk1x\sources\corelib\srMaterial.cpp
setup_wizardry_8_2001_12_23_(22306).exe,sr.dll,cec1caf85861c34bc4583ef1c69209e96a6930bdfc9af545c429f7470a8b6165,path,embedded-string,ascii,.cpp,D:\srsdk1x\sources\corelib\srMeshModel.cpp
setup_wizardry_8_2001_12_23_(22306).exe,sr.dll,cec1caf85861c34bc4583ef1c69209e96a6930bdfc9af545c429f7470a8b6165,path,embedded-string,ascii,.cpp,D:\srsdk1x\sources\corelib\srRuntimeClass.cpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.hpp,AnimRep.hpp
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.c,C:\Projects\SGP\DirectDraw Calls.c
setup_wizardry_8_2001_12_23_(22306).exe,Wiz8.exe,18a74ff61c65b8a2d4cfa11ffce82ad7fef022a94eaf0c2f217e479e981420d2,path,embedded-string,ascii,.cpp,C:\Projects\Wizardry 8\3D Code\IList.cpp
